code,name,listing_date,prospectus_date,offer_start_date,offer_end_date,pricing_date,allotment_date,board,offering_type,is_latest,offer_price_low,offer_price_high,issue_price,board_lot,market_cap_hkdm,offer_shares,public_offer_shares,placing_shares,gross_proceeds_hkd,net_proceeds_hkd,proceeds_currency,use_of_proceeds,public_subscription_multiple,international_subscription_multiple,valuation_metric,source_table,company_chinese_name,company_english_name,website,fiscal_year_end,lifecycle_stage,application_date,application_status,business_scope,company_profile,first_application_date,hearing_date,overall_coordinator,sponsor,status_update_date,temp_code,public_subscription_multiple_ballot,one_lot_success_rate_pct,total_applicants,name_cs,cornerstone_count,cornerstone_amount_hkd,cornerstone_top_names,cornerstone_quality_score,lockup_end_date,record_date,margin_amount_hkd,margin_multiple,margin_over_text,gray_date,gray_open_ret_pct,gray_close_ret_pct,gray_amount_10k_hkd,d1_open_ret_pct,d1_close_ret_pct,underwriter_count,top_underwriters,bookrunner_count,top_bookrunners,industry_level_1,industry_level_2,pre_listing_score,decision_tier,model_recommendation,risk_tags,path_label,quote_status,d1_close_ret,max_20_ret,min_20_ret,max_60_ret,min_60_ret,max_180_ret,min_180_ret,latest_quote_date,latest_close,ma5,ma10,ma20,ma60,ma120,rsi14,macd_dif,macd_dea,macd_hist,boll_upper,boll_mid,boll_lower,kdj_k,kdj_d,kdj_j,kdj_signal,boll_signal,obv,obv_signal,mfi14,atr14,ret_20d,ret_60d,vol_ratio_20d,drawdown_from_listing_high,technical_score,technical_state,buy_trigger,sell_trigger,quote_rows_for_ta
6871.HK,翼菲科技,2026-05-18,2026-05-08,2026-05-08,2026-05-13,2026-05-08,2026-05-15,主板,"发售以供认购,发售以供配售",是,,,30.5,100.0,3080.75,24600000.0,1230000.0,23370000.0,,,HKD,所得款项净额的约40.0%将于2026年至2030年用于公司机器人技术的开发;所得款项净额的约28.0%将用于2026年至2030年的生产基地及生产线建设或优化;所得款项净额的约12.0%将用于2026年至2030年发展海外业务网络;所得款项净额的约10.0%将用于2026年至2030年供应链上下游的投资;所得款项净额的约10.0%将用于2026年至2030年补充营运资金。,,,,首发信息一览,,,,,招股/待上市,2026-01-13,通过聆讯,"贵公司及其附属公司(统称‘贵集团’)主要从事工业机器人的设计、开发及商业化,并提供以智能自动化系统为基础的综合机器人解决方案,专为轻工业而设。","浙江翼菲智能科技股份有限公司成立于2012年6月26日。公司是中国一家工业机器人科技企业,专注于工业机器人的设计、研发、制造及商业化,并提供综合机器人解决方案,深耕轻工业应用场景。凭藉自主研发的机器人本体、控制及视觉系统和制造工艺,公司已建立全覆盖技术生态体系,实现规模化智能决策、环境感知、精确操控及自主移动。",2025-06-30,2026-04-20,农银国际融资有限公司,"中信里昂证券有限公司,农银国际融资有限公司,平安证券(香港)有限公司",2026-04-20,6871.HK,,,,,,,,,,2026-05-11,21808450000.0,713.5534,超购于548.8872倍,,,,,,,,,,,电子设备和仪器,特专科技公司(18C),47.7,D 回避/仅跟踪,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,孖展拥挤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7630.HK,英派药业-B,2026-05-13,2026-05-05,2026-05-05,2026-05-08,2026-05-11,2026-05-12,主板,"发售以供认购,发售以供配售",是,19.75,21.75,,200.0,4393.88,41977000.0,4197800.0,37779200.0,,,HKD,约51%将用于为公司核心产品塞纳帕利正在进行及计划中的临床开发、监管批准以及商业化提供资金。约31%将用于为公司的关键产品IMP1734及IMP9064正在进行的临床开发提供资金。约8%将用于为公司其他管线资产、IMP1707、IMP7068、IMP22、IMP25、IMP08、IMP13及IMP10的研发活动提供资金。约8%将用于为公司研发平台的开发及扩大公司的药物管线提供资金。约2%将用于营运资金及其他一般公司用途。,,,,首发信息一览,,,,,已上市,2026-03-27,通过聆讯,一家处于商业化阶段的创新驱动型生物技术公司。,"南京英派药业股份有限公司成立于2009年6月10日，是一家处于商业化阶段的创新驱动型生物技术公司,致力于在全球范围内推进基于合成致死(synthetic lethality)机制的精准抗癌疗法,以重新定义癌症治疗标准。公司通过自主研发建立了最全面、最先进的合成致死产品组合之一,也是全球仅有的三家同时拥有商业化阶段的PARP1/2抑制剂和临床阶段新一代PARP1选择性抑制剂的公司之一。公司的核心产品塞纳帕利已在中国获批上市,作为卵巢癌一线维持疗法,适用于全人群(无论突变状态),并展现出同类最优的临床特征。通过整合小分子药物与新兴疗法(包括新一代抗体偶联药物(ADC)和蛋白降解剂)的自主研发平台,公司持续推动创新突破。迄今为止,公司已与多家全球领先的生物科技公司及中国药企建立合作,这充分体现了业界对公司管线与研发平台的认可。",2025-09-26,2026-04-20,,"中国国际金融香港证券有限公司,高盛(亚洲)有限责任公司",2026-04-20,7630.HK,,,,英派药业-B,11.0,279972864.0,First Quarter Moon OFC — Phecda Fund；黄河投资有限公司；南京生物医药谷建设发展有限公司及华泰资本投资有限公司；Worldwide Healthcare Partners LLC；Prosper High Holding Limited,50.0,2026-11-13,2026-05-08,126731530000.0,1789.2885,超购于1387.0454倍,,,,,,,,,,,制药,生物科技公司(18A),55.0,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤；基石阵容较多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7666.HK,剂泰科技-P,2026-05-13,2026-05-05,2026-05-05,2026-05-08,2026-05-05,2026-05-12,主板,"发售以供认购,发售以供配售",是,10.5,10.5,,500.0,5302.95,201229000.0,10061500.0,191167500.0,,,HKD,"约所得款项净额的约50.0%将用于支撑公司的人工智能基础设施及人工智能驱动纳米材料平台的核心技术研究、开发及推进;约所得款项净额的约20.0%将用于公司人工智能开发产品管线中正在进行及计划开展的临床试验,推动候选药物在多个治疗领域及治疗模式中的进展;约所得款项净额的约10.0%将用于开发公司的动物健康及抗衰解决方案,并将人工智能赋能的解决方案拓展至该等高增长领域;约所得款项净额的约10.0%将分配用于支持公司在全球构建人工智能驱动纳米材料生态系统的增长战略,原因是公司认为海外市场为公司的人工智能驱动纳米材料平台提供更大潜力;约所得款项净额的约10.0%将用作营运资金及其他一般企业用途。",,,,首发信息一览,,,,,已上市,2026-03-25,通过聆讯,"贵公司为一家投资控股公司。贵公司及其附属公司(统称‘贵集团’)主要从事人工智能赋能纳米材料创新,用于活性成分在所有碳基生命形态中的递送与应用。","剂泰科技(北京)股份有限公司成立于2020年1月10日。公司是人工智能纳米材料创新的领军者,致力于有效载荷(Payload)在各种生命体中的递送与应用,以AI纳米创新开启健康未来。NanoForge是公司专有的、协同整合的人工智能驱动纳米科技创新体系的基础,涵盖公司自主生成的庞大脂质库、人工智能基础模型、METiSAI智能体、量子化学与分子动力学模拟及人工智能驱动的高通量筛选平台。在此基础上,公司开发了三大专业的解决方案(即AiTEM、AiLNP及AiRNA平台),用以模拟、预测及阐释纳米级别的相互作用关系,从而实现对先进纳米材料及其相关有效载荷的合理设计、优化及验证。",2026-03-25,2026-04-19,"中信证券(香港)有限公司,富瑞金融集团香港有限公司,德意志证券亚洲有限公司",招银国际融资有限公司,2026-04-19,7666.HK,,,,剂泰科技-P,18.0,1159432000.0,"BlackRock, Inc.；UBS Asset Management (Singapore) Ltd.；国风投创新投资基金股份有限公司；未来资产证券(香港)有限公司及Mirae Asset Securities Co., Ltd.；HHLR Advisors, Ltd.",60.0,2026-11-13,2026-05-08,544075360000.0,6642.2069,超购于5148.9976倍,,,,,,,,,,,生物科技,特专科技公司(18C),57.2,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,孖展拥挤；基石阵容较多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236.HK,乐动机器人,2026-05-11,2026-05-08,2026-04-30,2026-05-06,2026-05-07,2026-05-08,主板,"发售以供认购,发售以供配售",是,24.0,30.0,26.36,200.0,6060.51,33333400.0,3333400.0,30000000.0,878668424.0,806800000.0,HKD,"所得款项净额约45.0%将用于加强智能机器人视觉感知技术的研发,以实现人工智能功能算法结构的升级,优化公司的智能机器人视觉感知产品及智能机器人产品;所得款项净额约10.0%将分配用于品牌建设与国际拓展,以扩大海外客户群;所得款项净额约30.0%将分配用于优化生产能力及产能扩充,支持大规模出货量;所得款项净额约5.0%将分配用于探索潜在投资及收购机会,以增强公司的技术能力,实现海外规模化扩张;所得款项净额约10.0%将用作营运资金及一般公司用途。",6707.66,9.54,31.524974886317,首发信息一览,,,,,已上市,2025-05-30,失效,智能机器人设计、开发及生产。,"深圳乐动机器人股份有限公司成立于2017年11月1日,公司为拥有一套智能机器人视觉感知技术产品矩阵的公司之一,覆盖多款智能机器人激光雷达创新产品。公司的智能视觉感知产品搭载至广泛的整机机器人(如扫地机器人、割草机器人、客房服务机器人、餐厅送餐机器人、巡检机器人及物流机器人)中。紧抓全球智能割草机器人市场爆发机遇,公司高效研发并成功量产了全智能割草机器人产品。公司以多模态感知技术、AI算法为核心,在智能机器人领域构建了从底层技术研发到上层应用落地的广泛能力。公司亦具备设计及制造整机机器人的自研能力。凭藉持续产品创新,公司不断开发迎合新兴场景的产品(如智能花园养护系统),成功实现品牌出海。",2025-05-30,,"国泰君安融资有限公司,海通国际资本有限公司","中国国际金融香港证券有限公司,国投证券(香港)有限公司",2025-12-01,1236.HK,6707.66,0.8,296740.0,乐动机器人,1.0,277000000.0,康成亨远景投资有限公司,50.0,2026-11-11,2026-05-06,539925890000.0,6963.6146,超购于5398.1509倍,2026-05-08,116.24,88.92,16200.0,102.96,127.62,1.0,富途证券国际(香港)有限公司,,,工业机械和用品及零部件,工业,80.2,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；暗盘强势,上市即强势,partial,1.276176024279211,1.276176024279211,0.9575113229939716,1.276176024279211,0.9575113229939716,1.276176024279211,0.9575113229939716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187.HK,可孚医疗,2026-05-06,2026-05-05,2026-04-27,2026-04-30,2026-05-04,2026-05-05,主板,"发售以供认购,发售以供配售",是,,39.33,39.33,100.0,3972.67,27000000.0,2700000.0,24300000.0,1061910000.0,1007100000.0,HKD,"30.0%将用于全球拓展,30.0%将用于公司持续的产品研发及技术创新,包括公司的人工智能及物联网应用,20.0%将用于拓展公司的国内销售渠道及经销网络,10.0%将用于品牌推广及营销活动,10.0%将用于营运资金及一般公司用途。",399.08,3.4,35.763788833329,首发信息一览,,,,,已上市,2025-08-29,失效,医疗器械研发、生产、销售和服务。,可孚医疗科技股份有限公司的主营业务是医疗器械研发、生产、销售和服务。公司的主要产品是血糖尿酸监测系列、血压计、血氧仪、体温计、胎心仪、居家检测试纸、矫正/矫姿系列、助听器、轮椅、护理床、助行器、移位机、听力计、敷贴/敷料系列、健康防护系列、感染防控系列、成人护理系列、造口护理系列、呼吸机、制氧机、雾化器、便携制氧器、鼻腔护理、理疗仪、膏贴、拔罐、针灸针、按摩器、艾叶及制成品、刮痧板。,2025-08-29,,"华泰金融控股(香港)有限公司,法国巴黎证券(亚洲)有限公司",,2026-02-27,1187.HK,399.08,5.0,105939.0,可孚医疗,12.0,379779250.0,蓝思科技(香港)有限公司；长沙雨丰科技有限公司；远信(珠海)私募基金管理有限公司及中国银河国际投资有限公司；黄雪林；盘京港景投资基金,55.0,2026-11-06,2026-04-30,32746720000.0,411.8833,超购于307.3756倍,2026-05-05,14.92,1.75,4180.0,1.3,-1.09,1.0,富途证券国际(香港)有限公司,,,医疗保健设备,医疗保健,53.8,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多,观察/无明显路径,partial,-0.010933091129445516,-0.010933091129445516,-0.0750063293131138,-0.010933091129445516,-0.0750063293131138,-0.010933091129445516,-0.0750063293131138,2026-05-12,37.400001525878906,37.71200103759766,,,,,,-0.32772121922607056,-0.151581515483444,-0.3522794074852531,,,,34.54548228870738,34.54548228870738,34.54548228870739,中性,中性,-1857778.0,OBV未确认,39.26772108123515,2.7839996337890627,,,,-0.03856040979849573,50.0,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,5.0
1609.HK,天星医疗,2026-05-05,2026-05-04,2026-04-24,2026-04-29,2026-04-24,2026-05-04,主板,"发售以供认购,发售以供配售",是,98.5,98.5,98.5,50.0,4974.67,8421850.0,842200.0,7579650.0,829552225.0,758400000.0,HKD,"约30.0%将用于扩大公司的生产能力并提升生产效率,以便公司能够满足快速增长的市场需求。约35.0%将用于支持公司以患者为导向的产品策略的研发工作。约25.0%将用于商业化、销售及市场推广活动,以巩固公司在中国的领先地位并建立全球市场存在及品牌形象。约10.0%将用于营运资金及一般企业用途。",7823.13,10.41,34.706151261302,首发信息一览,,,,,已上市,2025-08-26,失效,运动医学植入物、有源设备及耗材，以及手术工具的研发、生产与销售，为患者和医生提供运动医学整体临床解决方案。,"北京天星医疗股份有限公司成立于2017年7月31日。公司是一家立足中国的医疗器械公司,专注于运动医学临床解决方案。据灼识咨询数据,按2024年销售收入计,公司是中国第四大运动医学设备提供商,市场份额约占中国运动医学植入物及器械市场的6.5%,也是最大的国产运动医学设备提供商。依托自主研发的植入物、有源设备、相关耗材及手术器械,公司提供针对肩部、膝部、髋部、足部╱踝部、肘部及手部╱腕部的肩袖、韧带、半月板等软组织损伤治疗,也提供运动康复及预防的全方位解决方案。",2025-08-26,,"中信证券(香港)有限公司,建银国际金融有限公司","中信里昂证券有限公司,中国银河国际证券(香港)有限公司,建银国际金融有限公司,民银证券有限公司",2026-02-24,1609.HK,7823.13,1.5,300735.0,天星医疗,4.0,287905650.0,JSC International Investment Fund SPC – Shenghai SP；奥博亚洲四期(香港)有限公司；Mega Prime Development Limited；Poly Platinum Enterprises Limited,50.0,2026-11-05,2026-04-29,530508570000.0,8248.2673,超购于6394.0057倍,2026-05-04,192.39,194.42,15700.0,192.39,118.27,1.0,富途证券国际(香港)有限公司,,,医疗保健设备,医疗保健,82.4,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；暗盘强势,上市即强势,partial,1.1827411167512691,1.2172588212841058,1.024365420268877,1.2172588212841058,1.024365420268877,1.2172588212841058,1.024365420268877,2026-05-12,199.3999938964844,207.23999633789063,,,,,,-2.6285373276949713,-0.8697141329346498,-3.517646389520643,,,,8.596166439318274,8.925996589435842,7.936506139083139,KDJ低位观察,中性,-6137.0,OBV未确认,16.180687323484364,28.816665649414066,,,,-0.08699633942758023,50.0,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,6.0
6810.HK,商米科技-W,2026-04-29,2026-04-28,2026-04-21,2026-04-24,2026-04-21,2026-04-28,主板,"发售以供认购,发售以供配售",是,24.86,24.86,24.86,100.0,2511.07,42626800.0,4262700.0,38364100.0,1059702248.0,922000000.0,HKD,约40.0%用于为BIoT软硬件解决方案的研发提供资金;约30.0%用于拨付加强供应链及生产运营;约20.0%用于拨付实施全球市场扩张计划;约10.0%将用于营运资金及其他一般公司用途。,2003.16,7.91,27.027128473167,首发信息一览,,,,,已上市,2025-06-25,失效,智能设备的设计、研发、生产及销售以及提供相关服务。,"上海商米科技集团股份有限公司成立于2013年12月11日,公司是全球领先的商业物联网(BIoT)解决方案提供商。公司的颠覆性解决方案集成了智能硬件、软件及数据洞察,赋能众多线下商业场景实现数字化转型,提升核心商业运营流程(如支付、会员管理、订单履约、存货控制及员工管理)效率。",2025-06-25,,"中信证券(香港)有限公司,农银国际融资有限公司,德意志证券亚洲有限公司",招银国际融资有限公司,2025-12-29,6810.HK,2003.16,5.0,204939.0,商米科技-W,2.0,286407088.0,"XINWUTANG CO., LIMITED；China Orient Enhanced Income Fund",50.0,2027-03-29,2026-04-24,127744410000.0,1553.7648,超购于1204.4689倍,2026-04-28,121.24,276.71,18300.0,292.2,241.11,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,电子设备和仪器,不同投票权公司,81.4,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；暗盘强势,上市即强势,partial,2.411102294921875,2.411102294921875,1.9766693483507645,2.411102294921875,1.9766693483507645,2.411102294921875,1.9766693483507645,2026-05-12,76.75,76.35,,,,,,-2.319797365056118,-1.4354524895003504,-1.7686897511115354,,,,13.838639914451743,10.744561217000431,20.026797309354365,KDJ低位观察,中性,-1744390.0,OBV未确认,10.964710769163446,7.87222205268012,,,,-0.09492927785444161,50.0,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,9.0
2493.HK,迈威生物-B,2026-04-28,2026-04-27,2026-04-20,2026-04-23,2026-04-24,2026-04-27,主板,"发售以供认购,发售以供配售",是,27.64,30.71,27.64,200.0,6203.95,47130200.0,4713200.0,42417000.0,1302678728.0,1189000000.0,HKD,约56.8%将用于核心产品9MW2821针对多种适用症不同阶段的临床开发试验。约17.7%将用于针对具有大量临床需求的肿瘤和年龄相关疾病的其他管线产品的研发。约15.5%将用于商业化目的。约10.0%将用于营运资金及其他一般公司用途。,481.71,3.46,31.871108438028,首发信息一览,,,,,已上市,2025-08-29,失效,研发、生产以及销售创新型药物和生物类似药。,迈威(上海)生物科技股份有限公司的主营业务是研发、生产以及销售创新型药物和生物类似药。公司的主要产品是抗体、ADC药物和重组蛋白、小分子化学药等药物。,2025-01-06,,"中信证券(香港)有限公司,海通国际资本有限公司","兴证国际融资有限公司,招银国际融资有限公司",2026-02-27,2493.HK,481.71,1.0,126378.0,迈威生物-B,6.0,415178150.0,"香港君实有限公司；Sanjin International Co., Ltd.；国惠(香港)控股有限公司；昌荣国际有限公司；WuXi Biologics HealthCare Venture",55.0,2026-10-28,2026-04-23,43249850000.0,399.0596,超购于297.8057倍,2026-04-27,8.9,2.89,5020.0,2.39,0.58,1.0,富途证券国际(香港)有限公司,,,制药,生物科技公司(18A),52.8,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,一手中签率低；基石阵容较多,观察/无明显路径,partial,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,-0.05861069255558349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879.HK,曦智科技-P,2026-04-28,2026-04-27,2026-04-20,2026-04-23,2026-04-24,2026-04-27,主板,"发售以供认购,发售以供配售",是,166.6,183.2,183.2,15.0,2775.71,13795215.0,689775.0,13105440.0,2527283388.0,2376900000.0,HKD,"约70.0%的所得款项净额将于未来五年用于研发工作,包括持续研发公司的光互连硬件及解决方案,以及光计算产品。约20.0%将用于公司的商业化工作。约10.0%所得款项净额将用于营运资金及一般企业用途。",5784.7,53.83,65.055709534067,首发信息一览,,,,,已上市,,,,,,,,,,,5784.7,6.0,378085.0,曦智科技-P,20.0,1644142140.0,"Alibaba Investment Limited；GIC Private Limited；Taibai Investments Pte. Ltd.；Baillie Gifford Overseas Limited及Baillie Gifford & Co；BlackRock, Inc.",70.0,2027-04-28,2026-04-23,588019810000.0,6001.4391,超购于4652.2784倍,2026-04-27,107.42,351.15,79800.0,380.35,383.62,,,,,资讯科技业,信息技术,96.3,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；基石阵容较多；暗盘强势,上市即强势,ok,3.8362445414847164,4.122816593886463,3.4432314410480354,4.122816593886463,3.4432314410480354,4.122816593886463,3.4432314410480354,2026-05-12,829.5,869.1,874.1,874.1,874.1,874.1,,-5.117483151428814,-1.5163361558596162,-7.202293991138396,962.8616033103403,874.1,785.3383966896597,36.99184947966624,49.036613309680234,12.90232181963826,中性,BOLL中轨下方,-772466.0,OBV未确认,40.54699623721362,112.7,,,,-0.11614278103356424,46.0,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,10.0
3296.HK,华勤技术,2026-04-23,2026-04-22,2026-04-15,2026-04-20,2026-04-21,2026-04-22,主板,"发售以供认购,发售以供配售",是,,77.7,77.7,100.0,7848.36,58548200.0,5854900.0,52693300.0,4549195140.0,4463100000.0,HKD,"约40.0%将用于以产品为核心的研发投入,增强技术实力。约35.0%将用于扩大及优化公司的制造体系。约15.0%将用于战略投资与垂直整合。约10.0%将用于营运资金及一般公司用途。",531.33,13.34,49.95900813347,首发信息一览,,,,,已上市,2025-09-16,失效,智能硬件产品的研发设计、生产制造和运营服务。,华勤技术股份有限公司的主营业务是智能硬件产品的研发设计、生产制造和运营服务。公司的主要产品是智能手机、平板电脑及智能穿戴产品、个人电脑产品、数据中心产品、AIoT产品、汽车电子产品、机器人产品。,2025-09-16,,"Merrill Lynch (Asia Pacific) Limited,中国国际金融香港证券有限公司","中信里昂证券有限公司,高盛(亚洲)有限责任公司",2026-03-12,3296.HK,531.33,12.0,140150.0,华勤技术,18.0,2272732770.0,JPMorgan Asset Management (Asia Pacific) Limited；Aurora SF；建滔投资有限公司；泰康人寿保险有限责任公司；Cloud Map Holdings Limited,55.0,2026-10-23,2026-04-20,191721040000.0,563.3811,超购于420.4337倍,2026-04-22,33.85,20.98,27600.0,12.68,13.26,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,互联网服务和基础设施,信息技术,63.8,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,孖展拥挤；基石阵容较多,温和趋势,ok,0.13256113256113244,0.5444015444015444,0.12998716926329235,0.5444015444015444,0.12998716926329235,0.5444015444015444,0.12998716926329235,2026-05-12,108.0,111.11999969482422,101.6,99.28846153846153,99.28846153846153,99.28846153846153,,5.898278763613263,3.592820374606044,4.610916778014437,120.72006329936657,99.28846153846153,77.8568597775565,69.04349725729219,66.87685141538151,73.37678894111355,中性,BOLL中轨上方,15977914.0,OBV资金确认,71.65891905352929,9.984615032489483,,,,-0.09999999999999998,66.0,趋势转强,连续2日站上20日线且成交额≥20日均值1.3倍,跌破关键均线或放量破位,13.0
2476.HK,胜宏科技,2026-04-21,2026-04-22,2026-04-13,2026-04-16,2026-04-16,2026-04-20,主板,"发售以供认购,发售以供配售",是,,209.88,209.88,100.0,21199.67,83348000.0,8334800.0,75013200.0,23134547700.0,22879790000.0,HKD,"所得款项净额约74.0%,预期将用于扩展公司在中国内地的生产;所得款项净额约7.0%,预期将用于购买mSAP制造设备及其他机器的智能制造设备,以进一步多样化公司的产品组合,保持在先进PCB技术领域的竞争优势;所得款项净额约9.0%,预期将于五年期间用于研发活动。所得款项净额约10.0%,预期将用作营运资金及一般公司用途。",431.15,18.5,33.768835450368,首发信息一览,,,,,已上市,2025-08-20,失效,高密度印制线路板的研发、生产和销售。,胜宏科技(惠州)股份有限公司的主营业务是高密度印制线路板的研发、生产和销售。公司的主要产品是刚性电路板（多层板和HDI为核心）、柔性电路板（单双面板、多层板、刚挠结合板）。公司于2015年通过GB/T29490-2023《知识产权合规管理体系》体系认证。拥有省级工程研发中心和企业技术中心。公司（含子公司）拥有专业1700多名研发人员，科研实力雄厚，拥有线路板领域有效专利381项，其中发明专利194项（含PCT3项，国外授权5次）、实用新型专利184项（含境外3项）；境内软件著作权20项，累计还在持续投入的研发项目共87个。公司先后被评为“国家高新技术企业”、“国家知识产权优势企业”、“广东省知识产权示范企业”、“广东省自主创新标杆企业”、“第五届中国电子电路行业优秀企业”，荣获第二十届至第二十三届中国专利优秀奖；累计获评为广东省高新技术产品45个，其中名优高新技术产品16项；获得市级科技成果登记7项。2023年我司入选首批“千企百城”商标品牌价值提升行动商标品牌名单，荣获2023年广东省省级制造业单项冠军，“胜宏科技”文字商标入选2023年广东省重点商标保护名录。,2025-08-20,,"J.P. Morgan Securities (Far East) Limited,中信建投(国际)融资有限公司,广发融资(香港)有限公司","J.P. Morgan Securities (Far East) Limited,中信建投(国际)融资有限公司,广发融资(香港)有限公司",2026-02-13,2476.HK,431.15,0.71,250606.0,胜宏科技,39.0,7812267345.0,"CPE Rosewood Investment Limited；Janchor Partners Pan-Asian Master Fund；Deliante Holdings Co., Ltd.；香港麦逊电子有限公司；New Alternative Limited",60.0,2026-10-21,2026-04-16,530029520000.0,404.6717,超购于301.9938倍,2026-04-20,69.24,58.66,128000.0,57.23,50.09,,,1.0,农银国际融资有限公司,电子设备和仪器,信息技术,68.7,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,一手中签率低；基石阵容较多；暗盘强势,上市即强势,ok,0.5008576329331047,0.8705927487303013,0.4293882218410521,0.8705927487303013,0.4293882218410521,0.8705927487303013,0.4293882218410521,2026-05-12,374.0,352.52000122070314,334.26000061035154,328.9866658528646,328.9866658528646,328.9866658528646,83.98123456887674,11.544722597631448,4.582005317130899,13.925434561001099,378.62546905221416,328.9866658528646,279.347862653515,75.4496091219327,66.62402407232673,93.10077922114462,中性,BOLL中轨上方,16162726.0,OBV资金确认,72.78377347114946,24.928569248744417,,,,-0.04737647940487144,60.0,趋势转强,连续2日站上20日线且成交额≥20日均值1.3倍,跌破关键均线或放量破位,15.0
